doubletake-recycled-luxury-boutique-atlanta |[[u"Women's Clothing", u'womenscloth'], [u'Accessories', u'accessories']]| |[u'659 Auburn Ave', u'Ste G7']| 33.7562007 -84.3662748 5.0 25
pink-sky-boutique-atlanta |[[u"Women's Clothing", u'womenscloth'], [u'Accessories', u'accessories'], [u'Shoe Stores', u'shoes']]| |[u'880 Glenwood Ave', u'Ste B']| 33.7398485094309 -84.3591702729464 4.5 10
swank-atlanta |[[u'Accessories', u'accessories'], [u'Shoe Stores', u'shoes'], [u"Women's Clothing", u'womenscloth']]| |[u'3400 Around Lenox Rd NE', u'Ste 215']| 33.8479515910149 -84.3653406947851 5.0 7
the-beehive-atlanta |[[u'Accessories', u'accessories'], [u"Women's Clothing", u'womenscloth'], [u'Jewelry', u'jewelry']]| |[u'1250 Caroline St', u'Ste C120']| 33.7585564 -84.3478165 4.5 49
